Material,Morphology,Material (Raw Data),Morphology (Raw Data),Unique_ID,Site,Location,Sample,Particle.x,Color,Plastic.or.not..morphology.,X1st.Order.Morph,Feret,MinFeret,Length,Length..mm.,Min Length (microns),Length (microns),Max Length (microns),Min Width (microns),Width (microns),Max Width (microns),Min Height (Microns),Height (microns),Max Height (Microns),Polymer.Class..openspecy.,Polymer..openspecy.,Min Density (mg/microns3),Density (mg/microns3),Max Density (mg/microns3),Min Volume (microns3),Volume (microns3),Max Volume (microns3),Min Mass (mg),Mass (mg),Max Mass (mg),,,
NA,fiber,,fiber,UNB-3-00-05-250um_D_41,Upper Newport Bay,UNB-3,UNB-3-00-05,41,black,,Fiber,1.127,0.188,1.262,1.262,1198.9,1262,1325.1,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,223000,276000,412000,0.000287234,0.000359961,0.000543254,,,
PET,fiber,poly(ethylene terephthalate),fiber,UNB-3-00-05-500um_A_25,Upper Newport Bay,UNB-3,UNB-3-00-05,25,black,,Fiber,0.63,0.458,1.266,1.266,1202.7,1266,1329.3,15,16.7,20.4,15,16.7,20.4,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),1.44E-09,1.45E-09,1.46E-09,224000,277000,414000,0.000322,0.000402,0.000604,,,
NA,fiber,,fiber,UNB-3-00-05-250um_B_39,Upper Newport Bay,UNB-3,UNB-3-00-05,39,gray,,Fiber,0.951,0.307,1.273,1.273,1209.35,1273,1336.65,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,225000,279000,416000,0.00028981,0.000363873,0.000548529,,,
NA,fiber,,fiber,UNB-2-00-05-250um_B_10,Upper Newport Bay,UNB-2,UNB-2-00-05,10,black,,Fiber,1.163,0.19,1.284,1.284,1219.8,1284,1348.2,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,227000,281000,420000,0.000292386,0.000366482,0.000553803,,,
NA,fiber,,fiber,UNB-3-00-05-250um_C_28,Upper Newport Bay,UNB-3,UNB-3-00-05,28,blue,,Fiber,1.168,0.189,1.288,1.288,1223.6,1288,1352.4,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,228000,282000,421000,0.000293674,0.000367786,0.000555122,,,
NA,fiber,,fiber,UNB-3-00-05-250um_D_38,Upper Newport Bay,UNB-3,UNB-3-00-05,38,black,,Fiber,1.155,0.214,1.291,1.291,1226.45,1291,1355.55,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,228000,283000,422000,0.000293674,0.00036909,0.00055644,,,
NA,fiber,,fiber,UNB-3-00-05-250um_C_13,Upper Newport Bay,UNB-3,UNB-3-00-05,13,gray,,Fiber,1.173,0.162,1.296,1.296,1231.2,1296,1360.8,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,229000,284000,424000,0.000294962,0.000370394,0.000559077,,,
NA,fiber,,fiber,UNB-3-00-05-250um_D_26,Upper Newport Bay,UNB-3,UNB-3-00-05,26,blue,,Fiber,1.157,0.241,1.296,1.296,1231.2,1296,1360.8,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,229000,284000,424000,0.000294962,0.000370394,0.000559077,,,
ABS,fiber,acrylonitrile butadiene styrene (abs),fiber,UNB-1-00-05-250um_A_16,Upper Newport Bay,UNB-1,UNB-1-00-05,16,black,,Fiber,1.208,0.164,1.3,1.3,1235,1300,1365,15,16.7,20.4,15,16.7,20.4,acrylonitrile butadiene styrene (abs),,1.11E-09,1.11E-09,1.11E-09,230000,285000,425000,0.000255,0.000316,0.000472,,,
ABS,fiber,acrylonitrile butadiene styrene (abs),fiber,UNB-1-00-05-250um_A_35,Upper Newport Bay,UNB-1,UNB-1-00-05,35,black,,Fiber,1.206,0.17,1.303,1.303,1237.85,1303,1368.15,15,16.7,20.4,15,16.7,20.4,acrylonitrile butadiene styrene (abs),,1.11E-09,1.11E-09,1.11E-09,230000,285000,426000,0.000256,0.000317,0.000473,,,
NA,fiber,,fiber,UNB-3-00-05-250um_C_40,Upper Newport Bay,UNB-3,UNB-3-00-05,40,gray,,Fiber,0.505,0.296,1.303,1.303,1237.85,1303,1368.15,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,230000,285000,426000,0.00029625,0.000371698,0.000561714,,,
NA,fiber,,fiber,UNB-3-00-05-250um_B_25,Upper Newport Bay,UNB-3,UNB-3-00-05,25,yellow,,Fiber,1.196,0.178,1.315,1.315,1249.25,1315,1380.75,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,232000,288000,430000,0.000298826,0.000375611,0.000566989,,,
PET,fiber,poly(ethylene terephthalate),fiber,UNB-1-00-05-250um_A_36,Upper Newport Bay,UNB-1,UNB-1-00-05,36,black,,Fiber,0.877,0.192,1.318,1.318,1252.1,1318,1383.9,15,16.7,20.4,15,16.7,20.4,Unknown,poly(ethylene terephthalate),1.44E-09,1.45E-09,1.46E-09,233000,289000,431000,0.000335,0.000419,0.000629,,,
PP,fiber,poly(propylene),fiber,UNB-1-00-05-250um_A_54,Upper Newport Bay,UNB-1,UNB-1-00-05,54,gray,,Fiber,1.083,0.305,1.318,1.318,1252.1,1318,1383.9,15,16.7,20.4,15,16.7,20.4,poly(propylene),poly(propylene),9.98E-10,0.000000001,0.000000001,233000,289000,431000,0.000232,0.000289,0.000431,,,
PET,fiber,poly(ethylene terephthalate),fiber,UNB-1-00-05-250um_A_8,Upper Newport Bay,UNB-1,UNB-1-00-05,8,black,,Fiber,1.188,0.169,1.322,1.322,1255.9,1322,1388.1,15,16.7,20.4,15,16.7,20.4,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),1.44E-09,1.45E-09,1.46E-09,234000,290000,432000,0.000336,0.00042,0.000631,,,
NA,fiber,,fiber,UNB-3-00-05-1000um_B_17,Upper Newport Bay,UNB-3,UNB-3-00-05,17,gray,,Fiber,0.378,0.287,1.326,1.326,1259.7,1326,1392.3,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,234000,290000,433000,0.000301402,0.000378219,0.000570945,,,
