"","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Unique_ID","Site","Location","Sample","Particle.x","Color","Plastic.or.not..morphology.","X1st.Order.Morph","Feret","MinFeret","Length","Length..mm.","Min.Length..microns.","Length..microns.","Max.Length..microns.","Min.Width..microns.","Width..microns.","Max.Width..microns.","Min.Height..Microns.","Height..microns.","Max.Height..Microns.","Polymer.Class..openspecy.","Polymer..openspecy.","Min.Density..mg.microns3.","Density..mg.microns3.","Max.Density..mg.microns3.","Min.Volume..microns3.","Volume..microns3.","Max.Volume..microns3.","Min.Mass..mg.","Mass..mg.","Max.Mass..mg.","X","X.1","X.2","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj"
"4675","tire wear","rubbery fragment","tire wear","TRWP","SUB-2-3_G-01-250-500um_S1_G_10","Basin II","SUB-2-3","SUB-2-3-S1",10,"black","","Non-Fiber",0.603,0.423,0,0.603,572.85,603,633.15,401.85,423,444.15,6.03,304.515,444.15,"","",1.2e-09,1.45e-09,1.7e-09,1388104.63,77672336.5,124901008,0.00167,0.113,0.212,NA,NA,NA,0.000603,0.000423,0.000304515,0.602947988300603,0.000426666740345921,1026,1450,0.413255360623782,5.92626703490543,NA,0.0321870304600704,11.1651507055391,2.22614376477467,0.0321870304600704
"4676",NA,"fragment","","fragment","SUB-3-9-250um_S1_A_51","Middle Newport Bay","SUB-3-9","SUB-3-9-S1",51,"translucent","","Non-Fiber",0.985,0.392,0,0.985,935.75,985,1034.25,372.4,392,411.6,9.85,200.925,392,"organic matter","organic matter",1.03e-09,1.08e-09,1.33e-09,3432462.01,77581161,166873342,0.00354,0.0838,0.222,NA,NA,NA,0.000985,0.000392,0.000200925,0.323349972420523,0.000426499727646589,1026,1080,0.0526315789473684,2.98048645634639,4.6,0.00642979925755245,2.22951840013688,7.10195756213732,0.00642979925755245
"4677",NA,"fragment","","fragment","SUB-2-2_G-01-250-500um_S1_H_39","Basin II","SUB-2-2","SUB-2-2-S1",39,"white","","Non-Fiber",1.03,0.383,0,1.03,978.5,1030,1081.5,363.85,383,402.15,10.3,196.65,383,"","",1.03e-09,1.08e-09,1.33e-09,3667080.42,77576458.5,166576361,0.00378,0.0838,0.222,NA,NA,NA,0.00103,0.000383,0.00019665,0.313094869687325,0.000426491110195877,1026,1080,0.0526315789473684,2.98042623545181,4.6,0.00630655616832885,2.18673995263677,7.38209432411331,0.00630655616832885
"4678","PP","fragment","poly(propylene)","fragment","SUB-3-6-250um_S1_A_36","Middle Newport Bay","SUB-3-6","SUB-3-6-S1",36,"white","","Non-Fiber",0.579,0.458,0,0.579,550.05,579,607.95,435.1,458,480.9,5.79,292.395,480.9,"poly(propylene)","poly(propylene)",9.98e-10,1e-09,1e-09,1385701.91,77537890.9,140597441,0.00138,0.0775,0.141,NA,NA,NA,0.000579,0.000458,0.000292395,0.567803311399891,0.000426420420926898,1026,1000,0.0253411306042884,2.33560601527296,4.6,0.00157079358352059,0.544567854531806,57.2840201156978,-0.00157079358352059
"4679",NA,"fiber","","fiber","SUB-4-4-250um_S1_A_93","Lower Harbor","SUB-4-4","SUB-4-4-S1",93,"blue","","Fiber",0.537,0.111,0.589,0.589,559.55,589,618.45,15,16.7,20.4,15,16.7,20.4,"","",1.25e-09,1.26e-09,1.28e-09,104000,129000,193000,0.00013,0.000163,0.000246,NA,NA,NA,0.000589,1.67e-05,1.67e-05,0.168383909316799,1.67e-05,1026,1260,0.228070175438596,0.190264996822831,NA,0.00114288317215826,0.0155171942886528,38.1407330158591,0.00114288317215826
"4680","tire wear","rubbery fragment","tire wear","TRWP","SUB-2-3_G-01-250-500um_S1_I_11","Basin II","SUB-2-3","SUB-2-3-S1",11,"black","","Non-Fiber",0.577,0.46,0,0.577,548.15,577,605.85,437,460,483,5.77,291.385,483,"","",1.2e-09,1.45e-09,1.7e-09,1382154.74,77339406.7,141338141,0.00166,0.112,0.24,NA,NA,NA,0.000577,0.00046,0.000291385,0.565588237455329,0.00042605625473978,1026,1450,0.413255360623782,5.91778758155027,NA,0.0309396749252514,10.7171073345682,2.40581203128929,0.0309396749252514
"4681","tire wear","rubbery fragment","tire wear","TRWP","SUB-2-3_G-01-250-500um_S1_C_24","Basin II","SUB-2-3","SUB-2-3-S1",24,"black","","Non-Fiber",0.584,0.449,0,0.584,554.8,584,613.2,426.55,449,471.45,5.84,294.92,471.45,"","",1.2e-09,1.45e-09,1.7e-09,1382035.65,77332742.7,136292961,0.00166,0.112,0.232,NA,NA,NA,0.000584,0.000449,0.00029492,0.575936537582866,0.000426044017287432,1026,1450,0.413255360623782,5.91761760718016,NA,0.031277376962507,10.8337718140812,2.35407373705599,0.031277376962507
"4682",NA,"fiber","","fiber","SUB-4-2-250um_S1_E_12","Lower Harbor","SUB-4-2","SUB-4-2-S1",12,"blue","","Fiber",0.536,0.376,1.153,1.153,1095.35,1153,1210.65,15,16.7,20.4,15,16.7,20.4,"","",1.25e-09,1.26e-09,1.28e-09,204000,253000,377000,0.000255,0.000318,0.000482,NA,NA,NA,0.001153,1.67e-05,1.67e-05,0.120349303696615,1.67e-05,1026,1260,0.228070175438596,0.190264996822831,NA,0.00114414824369041,0.0155343704631137,38.0564361064904,0.00114414824369041
"4683","tire wear","rubbery fragment","tire wear","TRWP","SUB-2-3_G-01-250-500um_S1_I_7","Basin II","SUB-2-3","SUB-2-3-S1",7,"black","","Non-Fiber",0.608,0.414,0,0.608,577.6,608,638.4,393.3,414,434.7,6.08,307.04,434.7,"","",1.2e-09,1.45e-09,1.7e-09,1381194.09,77285652.5,120634675,0.00166,0.112,0.205,NA,NA,NA,0.000608,0.000414,0.00030704,0.611988127825233,0.00042595752271036,1026,1450,0.413255360623782,5.91641622466699,NA,0.0324325279594025,11.2316091583915,2.18892524529562,0.0324325279594025
"4684","tire wear","rubbery fragment","tire wear","TRWP","SUB-4-1-250um_S1_G_28","Lower Harbor","SUB-4-1","SUB-4-1-S1",28,"black","","Non-Fiber",0.666,0.345,NA,0.666,632.7,666,699.3,327.75,345,362.25,6.66,336.33,362.25,"","",1.2e-09,1.45e-09,1.7e-09,1381067.05,77278544.1,91765686.2,0.00166,0.112,0.156,NA,NA,NA,0.000666,0.000345,0.00033633,0.701647440268104,0.00042594446310325,1026,1450,0.413255360623782,5.91623483082541,NA,0.0352043003525105,12.1911193598176,1.85775218926391,0.0352043003525105
