Sample ID,Top,Bottom,width,plot,D10 (mm):,D50 (mm):,D90 (mm):,(D90 / D10) (mm):,(D90 - D10) (mm):,(D75 / D25) (mm):,(D75 - D25) (mm):,D10 (f):,D50 (f):,D90 (f):,(D90 / D10) (f):,(D90 - D10) (f):,(D75 / D25) (f):,(D75 - D25) (f):,% GRAVEL:,% SAND:,% MUD:,% V COARSE GRAVEL:,% COARSE GRAVEL:,% MEDIUM GRAVEL:,% FINE GRAVEL:,% V FINE GRAVEL:,% V COARSE SAND:,% COARSE SAND:,% MEDIUM SAND:,% FINE SAND:,% V FINE SAND:,% V COARSE SILT:,% COARSE SILT:,% MEDIUM SILT:,% FINE SILT:,% V FINE SILT:,% CLAY:
UNB-1-1-21-22,21,22,1,21.5,1.538407961,11.99817829,56.36141048,36.63619268,54.82300252,7.262043477,25.6821988,4.149148473,6.381040815,9.344346151,2.252111779,5.195197678,1.56424949,2.860375567,0,0.083216893,0.916783107,0,0,0,0,0,0,0,0.000326936,0.019608335,0.063281623,0.153848393,0.196625893,0.172446433,0.153425194,0.111624426,0.128812769
UNB-1-1-22-23,22,23,1,22.5,1.487028044,11.47906673,99.6593502,67.01914641,98.17232216,10.83428401,37.6306915,3.326851022,6.444850837,9.393352429,2.823496564,6.066501407,1.748553217,3.43753191,0,0.173581659,0.826418341,0,0,0,0,0,0,0,0.003597081,0.064974243,0.105010335,0.126432383,0.13619498,0.152656033,0.156940251,0.119015281,0.135179413
UNB-1-1-23-24,23,24,1,23.5,3.252436201,44.4897785,155.1502262,47.70277313,151.89779,6.384159013,74.52913216,2.688262295,4.490382274,8.264263527,3.07420282,5.576001233,1.764081593,2.674496586,0,0.374254832,0.625745168,0,0,0,0,0,0,0.003075001,0.017812809,0.12997263,0.223394391,0.227619356,0.131866486,0.083624013,0.067627211,0.050222244,0.064785857
UNB-1-1-24-25,24,25,1,24.5,7.171503987,68.40204065,191.7472195,26.73737892,184.5757156,4.472399442,101.7022494,2.382722437,3.869816824,7.123508576,2.989651025,4.740786139,1.736940578,2.161049045,0,0.533029611,0.466970389,0,0,0,0,0,0,0.003148324,0.031418552,0.234764616,0.263698119,0.203908623,0.102395303,0.055177123,0.038705346,0.027410157,0.039373836
UNB-1-1-25-26,25,26,1,25.5,6.970462773,54.1020001,154.5742972,22.17561477,147.6038344,3.786422489,73.07208509,2.693627649,4.20817426,7.164529844,2.659807062,4.470902195,1.576461412,1.920835396,0,0.436392783,0.563607217,0,0,0,0,0,0,0,0.008032139,0.16000792,0.268352723,0.269167672,0.12879574,0.058328661,0.038606713,0.027597899,0.041110531
UNB-1-1-26-27,26,27,1,26.5,5.553401893,56.4668697,167.4288149,30.14887417,161.875413,4.325072183,82.59320283,2.578380255,4.146451534,7.492412479,2.905860168,4.914032224,1.656432427,2.112724211,0,0.45883172,0.54116828,0,0,0,0,0,0,0.00090525,0.017245402,0.177413913,0.263267156,0.240932246,0.116714445,0.060224315,0.04394205,0.031730813,0.047624411
UNB-1-1-27-28,27,28,1,27.5,9.414632868,65.58523051,153.6636298,16.32178673,144.2489969,3.163117336,73.31136137,2.702152357,3.930485227,6.730879448,2.490932619,4.028727091,1.515692575,1.661347074,0,0.523941458,0.476058542,0,0,0,0,0,0,0,0.004273195,0.175552612,0.34411565,0.2447249,0.096770055,0.045025189,0.031850248,0.02215346,0.03553469
UNB-1-1-27-28,27,28,1,27.5,8.223118346,65.99728658,185.7382127,22.58732088,177.5150944,3.980206458,94.70575404,2.428657437,3.921449479,6.926098693,2.851821993,4.497441256,1.668072821,1.992843267,0,0.522268895,0.477731105,0,0,0,0,0,0,0.002767471,0.031141733,0.220743462,0.267616229,0.23160226,0.101805349,0.047266543,0.034661797,0.024999264,0.037395891
UNB-1-1-28-29,28,29,1,28.5,13.77162854,76.57861379,159.034892,11.54800913,145.2632635,2.303621577,62.88633825,2.652584769,3.706914645,6.182157017,2.330616193,3.529572248,1.379812596,1.20390374,0,0.631371805,0.368628195,0,0,0,0,0,2.08189E-05,0.003183049,0.017653152,0.168899647,0.441615138,0.210027982,0.053013648,0.027016621,0.022170113,0.018225747,0.038174083
UNB-1-1-29-30,29,30,1,29.5,13.60867846,69.27456709,129.8866555,9.544398889,116.2779771,2.273788792,54.91555084,2.944674878,3.8515304,6.199329217,2.105267805,3.254654339,1.35369001,1.185098251,0,0.569417713,0.430582287,0,0,0,0,0,0,0,0.000956974,0.11477819,0.453682548,0.256834071,0.066661915,0.029987036,0.022241918,0.017387997,0.03746935
UNB-1-1-29-30,29,30,1,29.5,8.572918993,64.36337693,162.7991718,18.98993469,154.2262528,2.791035262,64.33780063,2.618834735,3.957616168,6.865997773,2.621775892,4.247163039,1.446268445,1.480800352,0,0.517015796,0.482984204,0,0,0,0,0,0,0.004633573,0.038132187,0.121499652,0.352750384,0.264674499,0.08526811,0.037311554,0.027668294,0.022450276,0.04561147
UNB-1-1-30-31,30,31,1,30.5,3.031583693,40.18020314,110.397913,36.41592125,107.3663293,4.723404744,54.94291568,3.179215196,4.637371332,8.365712633,2.631376651,5.186497438,1.582875757,2.239827164,0,0.297821136,0.702178864,0,0,0,0,0,0,0,0.003553533,0.070199924,0.224067679,0.291842914,0.152432288,0.080668116,0.059203898,0.045931692,0.072099956
UNB-1-1-31-32,31,32,1,31.5,1.893738974,18.71427227,66.73332083,35.23892243,64.83958185,6.674924313,33.20882874,3.905448892,5.739717242,9.044546796,2.315878929,5.139097904,1.585436103,2.738751478,0,0.112571392,0.887428608,0,0,0,0,0,0,0,0.000307912,0.026382051,0.085881428,0.215816489,0.221458107,0.148239128,0.115306758,0.083562149,0.103045976
UNB-1-1-32-33,32,33,1,32.5,1.302852915,8.558472743,41.194609,31.61877179,39.89175609,6.590313279,18.1887948,4.601400641,6.868430914,9.584110064,2.082867981,4.982709423,1.490737233,2.720347047,0,0.044716029,0.955283971,0,0,0,0,0,0,0,0,0.002925006,0.041791023,0.108799029,0.185545385,0.186485037,0.183425259,0.134807065,0.156222196
UNB-1-1-32-33,32,33,1,32.5,1.332263293,9.236825178,45.87174854,34.43144369,44.53948524,6.618376547,19.52648108,4.446250289,6.758387222,9.551905057,2.148305749,5.105654768,1.50099728,2.726477375,0,0.058308976,0.941691024,0,0,0,0,0,0,0,0.000287759,0.016239492,0.041781724,0.11455158,0.183917178,0.190176628,0.17781121,0.126140808,0.149093621
UNB-1-1-33-34,33,34,1,33.5,1.156502233,5.81751007,24.50892518,21.19228522,23.35242294,5.169553491,10.46954811,5.350548973,7.425382482,9.756016233,1.823367337,4.405467261,1.378146917,2.370039676,0,0.010455155,0.989544845,0,0,0,0,0,0,0,0,0.000700109,0.009755046,0.054322262,0.140125129,0.198506112,0.223435465,0.181057164,0.192098714
UNB-1-1-34-35,34,35,1,34.5,1.217099578,5.892133621,27.30073445,22.43097848,26.08363487,4.959063979,10.32788166,5.194916426,7.406994137,9.682337076,1.863809979,4.48742065,1.368290702,2.310067838,0,0.040047153,0.959952847,0,0,0,0,0,0,0,5.19685E-06,0.014468541,0.025573415,0.044267129,0.123993283,0.193912111,0.234160508,0.180225121,0.183394695
UNB-1-1-35-36,35,36,1,35.5,1.167266995,6.467089558,44.7007917,38.29525883,43.53352471,6.329710126,14.08573335,4.483555806,7.272667695,9.742649691,2.172973888,5.259093884,1.451092395,2.662139432,0,0.070258889,0.929741111,0,0,0,0,0,0,0,0.001644879,0.02925712,0.039356889,0.068241562,0.12578547,0.178386551,0.207128836,0.164767945,0.185430745
UNB-1-1-36-37,36,37,1,36.5,1.195853547,6.762607506,44.65359182,37.34035152,43.45773827,6.838655844,15.92162652,4.485079963,7.208204661,9.707743567,2.164452729,5.222663604,1.482822148,2.773712788,0,0.063523025,0.936476975,0,0,0,0,0,0,0,0.001629695,0.022552537,0.039340793,0.081873276,0.142637238,0.170252734,0.20062971,0.161462785,0.179621232
UNB-1-1-37-38,37,38,1,37.5,1.183077005,8.123097444,53.91730545,45.57379211,52.73422845,7.703356471,19.4386858,4.213107791,6.943754334,9.723240305,2.307854626,5.510132514,1.537074082,2.945487187,0,0.084202935,0.915797065,0,0,0,0,0,0,0,0.003133777,0.031678035,0.049391122,0.091856604,0.161538358,0.172663989,0.174647412,0.139509887,0.175580814
UNB-1-1-38-39,38,39,1,38.5,1.006108873,6.354702746,38.89687231,38.66069903,37.89076344,7.314781985,14.80281147,4.684202037,7.297959643,9.956997855,2.12565508,5.272795818,1.489407146,2.870814866,0,0.053085104,0.946914896,0,0,0,0,0,0,0,9.44293E-05,0.02027169,0.032718985,0.074340168,0.143292767,0.172885889,0.185951967,0.158130469,0.212313637
