Material,Morphology,Material (Raw Data),Morphology (Raw Data),Unique_ID,Site,Location,Sample,Particle.x,Color,Plastic.or.not..morphology.,X1st.Order.Morph,Feret,MinFeret,Length,Length..mm.,Min Length (microns),Length (microns),Max Length (microns),Min Width (microns),Width (microns),Max Width (microns),Min Height (Microns),Height (microns),Max Height (Microns),Polymer.Class..openspecy.,Polymer..openspecy.,Min Density (mg/microns3),Density (mg/microns3),Max Density (mg/microns3),Min Volume (microns3),Volume (microns3),Max Volume (microns3),Min Mass (mg),Mass (mg),Max Mass (mg),OS_Plastic_Not
NA,fiber,,fiber,UNB-1-05-10-250um_A_4,Upper Newport Bay,UNB-1,UNB-1-05-10,4,blue,,Fiber,0.465,0.358,0,0.465,441.75,465,488.25,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,8.22E+04,1.02E+05,1.52E+05,1.09E-04,1.38E-04,2.08E-04,
NA,fiber,,fiber,UNB-1-05-10-250um_A_8,Upper Newport Bay,UNB-1,UNB-1-05-10,8,blue,,Fiber,0.731,0.377,0,0.731,694.45,731,767.55,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.29E+05,1.60E+05,2.39E+05,1.72E-04,2.16E-04,3.27E-04,
NA,fiber,,fiber,UNB-1-05-10-250um_A_9,Upper Newport Bay,UNB-1,UNB-1-05-10,9,blue,,Fiber,0.636,0.454,0,0.636,604.2,636,667.8,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.12E+05,1.39E+05,2.08E+05,1.49E-04,1.88E-04,2.85E-04,
NA,fiber,,fiber,UNB-1-05-10-250um_B_24,Upper Newport Bay,UNB-1,UNB-1-05-10,24,blue,,Fiber,9.85,3.042,0,9.85,9357.5,9850,10342.5,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.74E+06,2.16E+06,3.22E+06,2.32E-03,2.91E-03,4.41E-03,
NA,fiber,,fiber,UNB-1-05-10-250um_B_27,Upper Newport Bay,UNB-1,UNB-1-05-10,27,gray,,Fiber,0.446,0.265,0,0.446,423.7,446,468.3,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,7.88E+04,9.77E+04,1.46E+05,1.05E-04,1.32E-04,2.00E-04,
NA,fiber,,fiber,UNB-1-05-10-250um_B_29,Upper Newport Bay,UNB-1,UNB-1-05-10,29,black,,Fiber,0.456,0.332,0,0.456,433.2,456,478.8,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,8.06E+04,9.99E+04,1.49E+05,1.07E-04,1.35E-04,2.04E-04,
NA,fiber,,fiber,UNB-1-05-10-250um_B_52,Upper Newport Bay,UNB-1,UNB-1-05-10,52,black,,Fiber,1.246,0.245,0,1.246,1183.7,1246,1308.3,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,2.20E+05,2.73E+05,4.07E+05,2.93E-04,3.68E-04,5.58E-04,
NA,fiber,,fiber,UNB-1-05-10-500um_A_21,Upper Newport Bay,UNB-1,UNB-1-05-10,21,black,,Fiber,1.332,0.708,0,1.332,1265.4,1332,1398.6,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,2.35E+05,2.92E+05,4.35E+05,3.13E-04,3.94E-04,5.96E-04,
NA,fiber,,fiber,UNB-1-05-10-500um_A_40,Upper Newport Bay,UNB-1,UNB-1-05-10,40,red,,Fiber,0.68,0.156,0,0.68,646,680,714,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.20E+05,1.49E+05,2.22E+05,1.60E-04,2.01E-04,3.04E-04,
NA,fiber,,fiber,UNB-1-05-10-500um_A_44,Upper Newport Bay,UNB-1,UNB-1-05-10,44,blue,,Fiber,1.055,0.61,0,1.055,1002.25,1055,1107.75,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.86E+05,2.31E+05,3.45E+05,2.48E-04,3.12E-04,4.72E-04,
NA,fiber,,fiber,UNB-1-05-10-500um_B_28,Upper Newport Bay,UNB-1,UNB-1-05-10,28,black,,Fiber,0.922,0.468,0,0.922,875.9,922,968.1,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.63E+05,2.02E+05,3.01E+05,2.17E-04,2.73E-04,4.13E-04,
NA,fiber,,fiber,UNB-1-05-10-500um_B_43,Upper Newport Bay,UNB-1,UNB-1-05-10,43,blue,,Fiber,1.031,0.366,0,1.031,979.45,1031,1082.55,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.82E+05,2.26E+05,3.37E+05,2.42E-04,3.05E-04,4.62E-04,
NA,fiber,,fiber,UNB-1-10-15-250um_A_54,Upper Newport Bay,UNB-1,UNB-1-10-15,54,gray,,Fiber,0.495,0.295,0,0.495,470.25,495,519.75,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,8.75E+04,1.08E+05,1.62E+05,1.16E-04,1.46E-04,2.22E-04,
NA,fiber,,fiber,UNB-1-10-15-500um_C_18,Upper Newport Bay,UNB-1,UNB-1-10-15,18,pink,,Fiber,1.324,0.425,0,1.324,1257.8,1324,1390.2,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,2.34E+05,2.90E+05,4.33E+05,3.11E-04,3.92E-04,5.93E-04,
NA,fiber,,fiber,UNB-1-20-25-500um_A_10,Upper Newport Bay,UNB-1,UNB-1-20-25,10,black,,Fiber,2.281,0.337,0,2.281,2166.95,2281,2395.05,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,4.03E+05,5.00E+05,7.46E+05,5.36E-04,6.74E-04,1.02E-03,
