"","Site","Sample","count","acrylonitrile butadiene styrene (abs)","cellulose derivatives (ether cellulose)","ethylene-vinyl acetate","poly(acrylamide/amid)s","poly(esters/ethers/diglycidylethers/terephthalates)s","poly(ethylene)","poly(propylene)","polyacrylonitriles (nitriles)","polycarbonates","polydienes (butadienes, isoprenes)","polyhaloolefins (vinylhalides)","polyhydroxy(meth)acrylates","polymethacrylates","polystyrenes (polyphenylethylenes, -methylstyrene)","polyurethanes (isocyanates)","polyvinylesters"
"75","Upper Bay Basin I/III","SUB-1-4-S1",6,0,0,0,0,0,4.91803278688525,0,0,0,0,0,0,0,0,0,0
"76","Upper Bay Basin I/III","SUB-1-5-S1",1,0,0,0,0.819672131147541,0,0,0,0,0,0,0,0,0,0,0,0
"77","Upper Bay Basin I/III","SUB-1-5-S1",2,0,0,0,0,1.63934426229508,0,0,0,0,0,1.63934426229508,1.63934426229508,0,0,0,0
"78","Upper Bay Basin I/III","SUB-1-5-S1",7,0,0,0,0,0,0,5.73770491803279,0,0,0,0,0,0,0,0,0
"79","Upper Bay Basin I/III","SUB-1-5-S1",12,0,0,0,0,0,9.83606557377049,0,0,0,0,0,0,0,0,0,0
"80","Upper Bay Basin I/III","SUB-1-6-S1",1,0,0,0,0,0,0,0,0,0,0,0.819672131147541,0.819672131147541,0,0,0,0
"81","Upper Bay Basin I/III","SUB-1-6-S1",2,0,0,0,0,1.63934426229508,0,1.63934426229508,0,0,0,0,0,0,0,0,0
"82","Upper Bay Basin I/III","SUB-1-6-S1",3,0,0,0,2.45901639344262,0,0,0,0,0,0,0,0,0,0,0,0
"83","Upper Bay Basin I/III","SUB-1-6-S1",7,0,0,0,0,0,5.73770491803279,0,0,0,0,0,0,0,0,0,0
"84","Upper Bay Basin I/III","SUB-1-7-S1",1,0,0,0,0.819672131147541,0,0,0,0,0,0,0,0,0,0.819672131147541,0,0
"85","Upper Bay Basin I/III","SUB-1-7-S1",6,0,0,0,0,0,4.91803278688525,0,0,0,0,0,0,0,0,0,0
"86","Upper Bay Basin I/III","SUB-1-7-S1",10,0,0,0,0,0,0,8.19672131147541,0,0,0,0,0,0,0,0,0
"87","Upper Bay Basin II","SUB-2-1-S1",1,0,0,0,0.617283950617284,0.617283950617284,0,0,0,0,0,0.617283950617284,0,0,0.617283950617284,0,0
"88","Upper Bay Basin II","SUB-2-1-S1",4,0,0,0,0,0,2.46913580246914,0,0,0,0,0,0,0,0,0,0
"89","Upper Bay Basin II","SUB-2-1-S1",5,0,0,0,0,0,0,3.08641975308642,0,0,0,0,0,0,0,0,0
"90","Upper Bay Basin II","SUB-2-2-S1",1,0,0.617283950617284,0,0,0,0,0,0,0,0,0,0.617283950617284,0,0.617283950617284,0,0
"91","Upper Bay Basin II","SUB-2-2-S1",2,0,0,0,0,0,0,0,0,0,0,1.23456790123457,0,0,0,1.23456790123457,0
"92","Upper Bay Basin II","SUB-2-2-S1",4,0,0,0,0,0,0,2.46913580246914,2.46913580246914,0,0,0,0,0,0,0,0
"93","Upper Bay Basin II","SUB-2-2-S1",7,0,0,0,0,0,0,0,0,0,4.32098765432099,0,0,0,0,0,0
"94","Upper Bay Basin II","SUB-2-2-S1",8,0,0,0,4.93827160493827,4.93827160493827,0,0,0,0,0,0,0,0,0,0,0
"95","Upper Bay Basin II","SUB-2-2-S1",22,0,0,0,0,0,13.5802469135802,0,0,0,0,0,0,0,0,0,0
"96","Upper Bay Basin II","SUB-2-3-S1",1,0,0,0,0,0,0,0,0,0.617283950617284,0,0,0,0,0.617283950617284,0,0
"97","Upper Bay Basin II","SUB-2-3-S1",2,0,0,0,0,0,0,0,0,0,0,0,1.23456790123457,0,0,0,0
"98","Upper Bay Basin II","SUB-2-3-S1",3,0,0,0,1.85185185185185,0,0,0,0,0,0,0,0,0,0,0,0
"99","Upper Bay Basin II","SUB-2-3-S1",4,0,0,0,0,0,0,0,0,0,0,2.46913580246914,0,0,0,0,0
"100","Upper Bay Basin II","SUB-2-3-S1",5,0,0,0,0,0,3.08641975308642,0,0,0,0,0,0,0,0,0,0
"101","Upper Bay Basin II","SUB-2-3-S1",7,0,0,0,0,4.32098765432099,0,0,0,0,0,0,0,0,0,0,0
"102","Upper Bay Basin II","SUB-2-3-S1",9,0,0,0,0,0,0,5.55555555555556,0,0,0,0,0,0,0,0,0
"103","Upper Bay Basin II","SUB-2-4-S1",1,0,0,0,0.617283950617284,0,0,0,0,0,0,0,0,0,0,0,0
"104","Upper Bay Basin II","SUB-2-4-S1",2,0,0,0,0,0,0,0,1.23456790123457,0,1.23456790123457,0,0,0,0,0,0
"105","Upper Bay Basin II","SUB-2-4-S1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85185185185185,0,0
"106","Upper Bay Basin II","SUB-2-4-S1",6,0,0,0,0,0,0,3.7037037037037,0,0,0,0,0,0,0,0,0
"107","Upper Bay Basin II","SUB-2-4-S1",9,0,0,0,0,0,5.55555555555556,0,0,0,0,0,0,0,0,0,0
"108","Upper Bay Basin II","SUB-2-5-S1",2,0,0,0,1.23456790123457,0,0,0,0,0,0,0,0,0,0,0,0
"109","Upper Bay Basin II","SUB-2-5-S1",7,0,0,0,0,0,4.32098765432099,0,0,0,0,0,0,0,0,0,0
"110","Upper Bay Basin II","SUB-2-5-S1",10,0,0,0,0,0,0,6.17283950617284,0,0,0,0,0,0,0,0,0
"111","Upper Bay Basin II","SUB-2-6-S1",1,0,0,0,0,0,0,0,0.617283950617284,0,0,0.617283950617284,0,0,0,0,0
"112","Upper Bay Basin II","SUB-2-6-S1",2,0,0,0,0,0,0,0,0,0,1.23456790123457,0,0,0,0,0,0
"113","Upper Bay Basin II","SUB-2-6-S1",3,0,0,0,0,1.85185185185185,1.85185185185185,0,0,0,0,0,0,0,0,0,0
"114","Upper Bay Basin II","SUB-2-6-S1",5,0,0,0,0,0,0,3.08641975308642,0,0,0,0,0,0,0,0,0
"115","Upper Bay Saltmarsh","UNB-1-00-05",1,0,0.649350649350649,0.649350649350649,0.649350649350649,0,0,0,0,0,0,0.649350649350649,0,0.649350649350649,0,0,0.649350649350649
"116","Upper Bay Saltmarsh","UNB-1-00-05",4,0,0,0,0,0,2.5974025974026,0,0,0,0,0,0,0,0,0,0
"117","Upper Bay Saltmarsh","UNB-1-00-05",11,0,0,0,0,0,0,7.14285714285714,0,0,0,0,0,0,7.14285714285714,0,0
