Site,Location,Sample,Depth,Size,Unique_ID,Color,Color-Group,Morphology,1st Order Morph,Comment,Feret,MinFeret,Length,plastic_or_not,match_val,good_match_vals,material_class,material_class_specific,spectrum_identity
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_16,green,Green,fiber,Fiber,,0.971,0.247,2.352,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_17,clear,Transparent,film,Non-Fiber,,1.027,0.451,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_18,black,Black,fiber,Fiber,,0.607,0.111,0.663,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_19,clear,Transparent,fragment,Non-Fiber,brittle,0.521,0.408,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_2,blue,Blue,fragment,Non-Fiber,,0.613,0.313,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_20,clear,Transparent,fragment,Non-Fiber,brittle,0.52,0.392,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_21,clear,Transparent,fragment,Non-Fiber,brittle,0.608,0.467,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_22,clear,Transparent,fragment,Non-Fiber,,0.901,0.514,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_23,green,Green,fragment,Non-Fiber,,0.692,0.533,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_24,pink,Red,fiber,Fiber,,0.977,0.325,1.232,,,,,,
