Material,Morphology,Material (Raw Data),Morphology (Raw Data),Unique_ID,Site,Location,Sample,Particle.x,Color,Plastic.or.not..morphology.,X1st.Order.Morph,Feret,MinFeret,Length,Length..mm.,Min Length (microns),Length (microns),Max Length (microns),Min Width (microns),Width (microns),Max Width (microns),Min Height (Microns),Height (microns),Max Height (Microns),Polymer.Class..openspecy.,Polymer..openspecy.,Min Density (mg/microns3),Density (mg/microns3),Max Density (mg/microns3),Min Volume (microns3),Volume (microns3),Max Volume (microns3),Min Mass (mg),Mass (mg),Max Mass (mg)
PP,fragment,poly(propylene),fragment,SUB-1-4-01-250-500um_S1_A_35,Basin I/III,SUB-1-4,SUB-1-4-S1,35,green,,Non-Fiber,1.186,0.204,0,1.186,1126.7,1186,1245.3,193.8,204,214.2,11.86,107.93,204,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,2589683.9,26113015.9,54415625,2.58E-03,2.61E-02,5.44E-02
PP,fragment,poly(propylene),fragment,SUB-1-5-01-250-500um_S1_A_8,Basin I/III,SUB-1-5,SUB-1-5-S1,8,pink,,Non-Fiber,0.52,0.339,0,0.52,494,520,546,322.05,339,355.95,5.2,262.6,355.95,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,827282.04,46291128,69178419.8,8.26E-04,4.63E-02,6.92E-02
PP,fragment,poly(propylene),fragment,SUB-1-5-01-250-500um_S1_A_11,Basin I/III,SUB-1-5,SUB-1-5-S1,11,clear,,Non-Fiber,0.878,0.653,0,0.878,834.1,878,921.9,620.35,653,685.65,8.78,443.39,685.65,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,4543069.95,254210562,433399869,4.53E-03,2.54E-01,4.33E-01
PP,fragment,poly(propylene),fragment,SUB-1-6-01-250-500um_S1_A_58,Basin I/III,SUB-1-6,SUB-1-6-S1,58,blue,,Non-Fiber,1.326,0.347,0,1.326,1259.7,1326,1392.3,329.65,347,364.35,13.26,180.13,347,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,5506348.99,82881775.9,176027723,5.50E-03,8.29E-02,1.76E-01
PP,fragment,poly(propylene),fragment,SUB-1-7-01-250-500um_S1_A_13,Basin I/III,SUB-1-7,SUB-1-7-S1,13,blue,,Non-Fiber,0.359,0.297,0,0.359,341.05,359,376.95,282.15,297,311.85,3.59,181.295,311.85,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,345455.854,19330216.8,36658546.8,3.45E-04,1.93E-02,3.67E-02
PP,fragment,poly(propylene),fragment,SUB-1-7-01-250-500um_S1_A_23,Basin I/III,SUB-1-7,SUB-1-7-S1,23,white,,Non-Fiber,1.567,0.385,0,1.567,1488.65,1567,1645.35,365.75,385,404.25,15.67,200.335,385,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,8531903.47,120861104,256076104,8.51E-03,1.21E-01,2.56E-01
PP,fragment,poly(propylene),fragment,SUB-1-7-01-250-500um_S1_A_25,Basin I/III,SUB-1-7,SUB-1-7-S1,25,black,,Non-Fiber,1.219,0.341,0,1.219,1158.05,1219,1279.95,323.95,341,358.05,12.19,176.595,341,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,4573082.13,73406833,156275559,4.56E-03,7.34E-02,1.56E-01
PP,fragment,poly(propylene),fragment,SUB-1-7-01-250-500um_S1_A_29,Basin I/III,SUB-1-7,SUB-1-7-S1,29,green,,Non-Fiber,0.742,0.184,0,0.742,704.9,742,779.1,174.8,184,193.2,7.42,95.71,184,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,914266.578,13067094.9,27696070.1,9.12E-04,1.31E-02,2.77E-02
PP,fragment,poly(propylene),fragment,SUB-1-7-01-250-500um_S1_A_33,Basin I/III,SUB-1-7,SUB-1-7-S1,33,green,,Non-Fiber,0.926,0.497,0,0.926,879.7,926,972.3,472.15,497,521.85,9.26,467.63,521.85,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,3846144.29,215213614,264783953,3.84E-03,2.15E-01,2.65E-01
PP,fragment,poly(propylene),fragment,SUB-1-7-01-250-500um_S1_A_34,Basin I/III,SUB-1-7,SUB-1-7-S1,34,green,,Non-Fiber,0.649,0.253,0,0.649,616.55,649,681.45,240.35,253,265.65,6.49,129.745,253,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,961738.773,21303739.8,45799879.7,9.60E-04,2.13E-02,4.58E-02
PP,fragment,poly(propylene),fragment,SUB-1-7-01-250-500um_S1_A_43,Basin I/III,SUB-1-7,SUB-1-7-S1,43,gray,,Non-Fiber,0.727,0.333,0,0.727,690.65,727,763.35,316.35,333,349.65,7.27,170.135,333,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,1588401.42,41188152.3,88879474.1,1.59E-03,4.12E-02,8.89E-02
PP,fragment,poly(propylene),fragment,SUB-1-7-01-250-500um_S1_A_45,Basin I/III,SUB-1-7,SUB-1-7-S1,45,gray,,Non-Fiber,1.326,0.674,0,1.326,1259.7,1326,1392.3,640.3,674,707.7,13.26,669.63,707.7,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,10695329.2,598464402,697318543,1.07E-02,5.98E-01,6.97E-01
PP,fragment,poly(propylene),fragment,SUB-2-3_G-01-250-500um_S1_E_52,Basin II,SUB-2-3,SUB-2-3-S1,52,pink,,Non-Fiber,1.121,0.256,0,1.121,1064.95,1121,1177.05,243.2,256,268.8,11.21,133.605,256,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,2903343.37,38341428.5,80996106.2,2.90E-03,3.83E-02,8.10E-02
PP,fragment,poly(propylene),fragment,SUB-2-4_G-01-250-500um_S1_D_3,Basin II,SUB-2-4,SUB-2-4-S1,3,green,,Non-Fiber,1.197,0.211,0,1.197,1137.15,1197,1256.85,200.45,211,221.55,11.97,111.485,211,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,2728462.36,28157432,58754029.8,2.72E-03,2.82E-02,5.88E-02
PP,fragment,poly(propylene),fragment,SUB-2-5_G-01-250-500um_S1_C_4,Basin II,SUB-2-5,SUB-2-5-S1,4,gray,,Non-Fiber,0.643,0.507,0,0.643,610.85,643,675.15,481.65,507,532.35,6.43,324.715,532.35,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,1891808.25,105857415,191335162,1.89E-03,1.06E-01,1.91E-01
PP,fragment,poly(propylene),fragment,SUB-2-5_G-01-250-500um_S1_C_12,Basin II,SUB-2-5,SUB-2-5-S1,12,gray,,Non-Fiber,0.979,0.126,0,0.979,930.05,979,1027.95,119.7,126,132.3,9.79,67.895,126,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,1089891.18,8375119.83,17135720.9,1.09E-03,8.38E-03,1.71E-02
PP,fragment,poly(propylene),fragment,SUB-2-6_G-01-250-500um_S1_A_10,Basin II,SUB-2-6,SUB-2-6-S1,10,green,,Non-Fiber,0.764,0.226,0,0.764,725.8,764,802.2,214.7,226,237.3,7.64,116.82,226,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,1190535.55,20170608.5,43021825.6,1.19E-03,2.02E-02,4.30E-02
PP,fragment,poly(propylene),fragment,SUB-2-6_G-01-250-500um_S1_A_13,Basin II,SUB-2-6,SUB-2-6-S1,13,gray,,Non-Fiber,1.512,0.58,0,1.512,1436.4,1512,1587.6,551,580,609,15.12,297.56,580,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,11966820.8,260948218,560772072,1.19E-02,2.61E-01,5.61E-01
PP,fragment,poly(propylene),fragment,SUB-2-6_G-01-250-500um_S1_A_17,Basin II,SUB-2-6,SUB-2-6-S1,17,gray,,Non-Fiber,0.699,0.231,0,0.699,664.05,699,733.95,219.45,231,242.55,6.99,118.995,231,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,1018623.15,19214003.7,41122521.2,1.02E-03,1.92E-02,4.11E-02
PP,fragment,poly(propylene),fragment,SUB-2-6_G-01-250-500um_S1_A_19,Basin II,SUB-2-6,SUB-2-6-S1,19,white,,Non-Fiber,0.943,0.289,0,0.943,895.85,943,990.15,274.55,289,303.45,9.43,149.215,289,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,2319361.47,40665116.3,86833234.1,2.31E-03,4.07E-02,8.68E-02
PP,fragment,poly(propylene),fragment,SUB-4-9-250um_S2_A_74,Lower Harbor,SUB-4-9,SUB-4-9-S2,74,green,,Non-Fiber,1.163,0.113,0,1.163,1104.85,1163,1221.15,107.35,113,118.65,11.63,62.315,113,Unknown,poly(propylene),9.98E-10,1.00E-09,1.00E-09,1379383.68,8189374.99,16372507.6,1.38E-03,8.19E-03,1.64E-02
PP,fragment,poly(propylene),fragment,SUB-1-7-01-250-500um_S1_A_30,Basin I/III,SUB-1-7,SUB-1-7-S1,30,gray,,Non-Fiber,1.068,0.394,0,1.068,1014.6,1068,1121.4,374.3,394,413.7,10.68,202.34,394,Unknown,poly(propylene),9.98E-10,1.00E-09,1.00E-09,4055887.85,85143053.3,182785733,4.05E-03,8.51E-02,1.83E-01
Poly(vinyl acetate),fragment,poly(vinyl acetate),fragment,SUB-3-3-250um_S1_A_78,Middle Newport Bay,SUB-3-3,SUB-3-3-S1,78,translucent,,Non-Fiber,0.897,0.431,0,0.897,852.15,897,941.85,409.45,431,452.55,8.97,219.985,431,polyvinylesters,poly(vinyl acetate),1.16E-09,1.19E-09,1.22E-09,3129747.97,85047740.9,183706948,3.63E-03,1.01E-01,2.24E-01
Poly(vinyl acetate),fragment,poly(vinyl acetate),fragment,SUB-4-7-250um_S2_A_71,Lower Harbor,SUB-4-7,SUB-4-7-S2,71,translucent,,Non-Fiber,0.842,0.589,0,0.842,799.9,842,884.1,559.55,589,618.45,8.42,425.21,618.45,polyvinylesters,poly(vinyl acetate),1.16E-09,1.19E-09,1.22E-09,3768657.66,210877797,338150924,4.37E-03,2.51E-01,4.13E-01
PVC,fragment,poly(vinyl chloride),fragment,SUB-3-3-250um_S1_A_20,Middle Newport Bay,SUB-3-3,SUB-3-3-S1,20,pink,,Non-Fiber,0.818,0.468,0,0.818,777.1,818,858.9,444.6,468,491.4,8.18,413.09,491.4,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,2826179.04,158140766,207401984,3.76E-03,2.10E-01,2.76E-01
PVC,fragment,poly(vinyl chloride),fragment,SUB-3-3-250um_S1_A_39,Middle Newport Bay,SUB-3-3,SUB-3-3-S1,39,white,,Non-Fiber,0.62,0.359,0,0.62,589,620,651,341.05,359,376.95,6.2,313.1,376.95,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,1245446.39,69689798,92501437.9,1.66E-03,9.27E-02,1.23E-01
PVC,fragment,poly(vinyl chloride),fragment,SUB-3-6-1000um_S1_A_11,Middle Newport Bay,SUB-3-6,SUB-3-6-S1,11,black,,Non-Fiber,2.225,0.622,0,2.225,2113.75,2225,2336.25,590.9,622,653.1,22.25,322.125,622,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,27790581,445804894,949050632,3.70E-02,5.93E-01,1.26E+00
PVC,fragment,poly(vinyl chloride),fragment,SUB-3-6-250um_S1_A_45,Middle Newport Bay,SUB-3-6,SUB-3-6-S1,45,green,,Non-Fiber,0.209,0.154,0,0.209,198.55,209,219.45,146.3,154,161.7,2.09,105.545,161.7,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,60710.0379,3397071.37,5737935.01,8.07E-05,4.52E-03,7.63E-03
PVC,fragment,poly(vinyl chloride),fragment,SUB-3-6-500um_S1_A_38,Middle Newport Bay,SUB-3-6,SUB-3-6-S1,38,gray,,Non-Fiber,1.936,1.285,0,1.936,1839.2,1936,2032.8,1220.75,1285,1349.25,19.36,977.68,1349.25,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,43467137.8,2432233197,3700662723,5.78E-02,3.23E+00,4.92E+00
PVC,fragment,poly(vinyl chloride),fragment,SUB-3-7-500um_S1_A_30,Middle Newport Bay,SUB-3-7,SUB-3-7-S1,30,translucent,,Non-Fiber,1.848,1.113,0,1.848,1755.6,1848,1940.4,1057.35,1113,1168.65,18.48,933.24,1168.65,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,34304122,1919510430,2650087373,4.56E-02,2.55E+00,3.52E+00
PVC,fragment,poly(vinyl chloride),fragment,SUB-3-7-500um_S1_A_60,Middle Newport Bay,SUB-3-7,SUB-3-7-S1,60,white,,Non-Fiber,1.756,0.808,0,1.756,1668.2,1756,1843.8,767.6,808,848.4,17.56,412.78,808,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,22485761.2,585672077,1263938175,2.99E-02,7.79E-01,1.68E+00
PVC,fragment,poly(vinyl chloride),fragment,SUB-3-9-250um_S1_A_37,Middle Newport Bay,SUB-3-9,SUB-3-9-S1,37,gray,,Non-Fiber,0.761,0.574,0,0.761,722.95,761,799.05,545.3,574,602.7,7.61,384.305,602.7,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,3000049.47,167869804,290252747,3.99E-03,2.23E-01,3.86E-01
PVC,fragment,poly(vinyl chloride),fragment,SUB-3-9-500um_S1_B_24,Middle Newport Bay,SUB-3-9,SUB-3-9-S1,24,yellow,,Non-Fiber,1.322,0.853,0,1.322,1255.9,1322,1388.1,810.35,853,895.65,13.22,667.61,895.65,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,13454239.4,752841098,1113518443,1.79E-02,1.00E+00,1.48E+00
PVC,fragment,poly(vinyl chloride),fragment,SUB-4-1-500um_S1_B_32,Lower Harbor,SUB-4-1,SUB-4-1-S1,32,white,,Non-Fiber,1.134,0.824,0,1.134,1077.3,1134,1190.7,782.8,824,865.2,11.34,572.67,865.2,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,9563140.39,535112011,891323537,1.27E-02,7.12E-01,1.19E+00
PVC,fragment,poly(vinyl chloride),fragment,SUB-4-10-250um_S2_A_59,Lower Harbor,SUB-4-10,SUB-4-10-S2,59,white,,Non-Fiber,0.971,0.441,0,0.971,922.45,971,1019.55,418.95,441,463.05,9.71,225.355,441,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,3752530.75,96499489.9,208197259,4.99E-03,1.28E-01,2.77E-01
PVC,fragment,poly(vinyl chloride),fragment,SUB-4-11-250um_S1_B_47,Lower Harbor,SUB-4-11,SUB-4-11-S1,47,blue,,Non-Fiber,0.947,0.34,0,0.947,899.65,947,994.35,323,340,357,9.47,174.735,340,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,2751858.42,56261175.3,120694203,3.66E-03,7.48E-02,1.61E-01
PVC,fragment,poly(vinyl chloride),fragment,SUB-4-4-250um_S1_B_15,Lower Harbor,SUB-4-4,SUB-4-4-S1,15,blue,,Non-Fiber,0.209,0.126,0,0.209,198.55,209,219.45,119.7,126,132.3,2.09,105.545,132.3,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,49671.8492,2779422.03,3841096.99,6.61E-05,3.70E-03,5.11E-03
PVC,fragment,poly(vinyl chloride),fragment,SUB-4-4-250um_S1_B_37,Lower Harbor,SUB-4-4,SUB-4-4-S1,37,white,,Non-Fiber,0.621,0.312,0,0.621,589.95,621,652.05,296.4,312,327.6,6.21,159.105,312,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,1085887.93,30826912,66646813,1.44E-03,4.10E-02,8.86E-02
PVC,fragment,poly(vinyl chloride),fragment,SUB-4-7-250um_S2_A_65,Lower Harbor,SUB-4-7,SUB-4-7-S2,65,white,,Non-Fiber,0.563,0.422,0,0.563,534.85,563,591.15,400.9,422,443.1,5.63,284.315,443.1,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,1207192.28,67549263.6,116064978,1.61E-03,8.98E-02,1.54E-01
PVC,fragment,poly(vinyl chloride),fragment,SUB-1-3-01-250-500um_S1_A_13,Basin I/III,SUB-1-3,SUB-1-3-S1,13,white,,Non-Fiber,0.79,0.301,0,0.79,750.5,790,829.5,285.95,301,316.05,7.9,154.45,301,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,1695383.25,36726665.5,78911206,2.25E-03,4.88E-02,1.05E-01
PVC,fragment,poly(vinyl chloride),fragment,SUB-1-3-01-250-500um_S1_A_41,Basin I/III,SUB-1-3,SUB-1-3-S1,41,green,,Non-Fiber,0.842,0.478,0,0.842,799.9,842,884.1,454.1,478,501.9,8.42,425.21,501.9,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,3058435.25,171136820,222707982,4.07E-03,2.28E-01,2.96E-01
PVC,fragment,poly(vinyl chloride),fragment,SUB-2-3_G-01-250-500um_S1_H_28,Basin II,SUB-2-3,SUB-2-3-S1,28,blue,,Non-Fiber,1.782,0.516,0,1.782,1692.9,1782,1871.1,490.2,516,541.8,17.82,266.91,516,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,14788097.7,245426948,523101182,1.97E-02,3.26E-01,6.96E-01
PVC,fragment,poly(vinyl chloride),fragment,SUB-2-6_G-01-250-500um_S1_A_29,Basin II,SUB-2-6,SUB-2-6-S1,29,white,,Non-Fiber,0.743,0.265,0,0.743,705.85,743,780.15,251.75,265,278.25,7.43,136.215,265,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,1320294.19,26820052.4,57525335.4,1.76E-03,3.57E-02,7.65E-02
Polyacetal - Polyoxymethylene,fragment,polyacetal - polyoxymethylene,fragment,SUB-3-3-500um_S1_B_3,Middle Newport Bay,SUB-3-3,SUB-3-3-S1,3,black,,Non-Fiber,1.324,1.107,0,1.324,1257.8,1324,1390.2,1051.65,1107,1162.35,13.24,668.62,1162.35,poly(esters/ethers/diglycidylethers/terephthalates)s,polyacetal - polyoxymethylene,1.20E-09,1.23E-09,1.26E-09,17513413.5,979974938,1878240168,2.10E-02,1.21E+00,2.37E+00
polystyrene,fragment,polystyrene,fragment,SUB-3-6-500um_S1_A_21,Middle Newport Bay,SUB-3-6,SUB-3-6-S1,21,black,,Non-Fiber,1.441,0.558,0,1.441,1368.95,1441,1513.05,530.1,558,585.9,14.41,286.205,558,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,1.05E-09,1.05E-09,1.05E-09,10457054.5,230131144,494664765,1.10E-02,2.42E-01,5.19E-01
polystyrene,fragment,polystyrene,fragment,SUB-3-7-250um_S1_A_53,Middle Newport Bay,SUB-3-7,SUB-3-7-S1,53,yellow,,Non-Fiber,0.949,0.838,0,0.949,901.55,949,996.45,796.1,838,879.9,9.49,479.245,879.9,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,1.05E-09,1.05E-09,1.05E-09,6811200.33,381125337,771475515,7.15E-03,4.00E-01,8.10E-01
polystyrene,fragment,polystyrene,fragment,SUB-3-9-250um_S1_A_41,Middle Newport Bay,SUB-3-9,SUB-3-9-S1,41,white,,Non-Fiber,0.577,0.333,0,0.577,548.15,577,605.85,316.35,333,349.65,5.77,291.385,349.65,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,1.05E-09,1.05E-09,1.05E-09,1000559.85,55987005.3,74068266,1.05E-03,5.88E-02,7.78E-02
polystyrene,fragment,polystyrene,fragment,SUB-3-9-250um_S1_A_54,Middle Newport Bay,SUB-3-9,SUB-3-9-S1,54,translucent,,Non-Fiber,0.647,0.546,0,0.647,614.65,647,679.35,518.7,546,573.3,6.47,326.735,573.3,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,1.05E-09,1.05E-09,1.05E-09,2062758.64,115423060,223283928,2.17E-03,1.21E-01,2.34E-01
polystyrene,fragment,polystyrene,fragment,SUB-4-10-250um_S1_B_58,Lower Harbor,SUB-4-10,SUB-4-10-S1,58,translucent,,Non-Fiber,0.407,0.231,0,0.407,386.65,407,427.35,219.45,231,242.55,4.07,205.535,242.55,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,1.05E-09,1.05E-09,1.05E-09,345340.894,19323784.1,25141215.2,3.63E-04,2.03E-02,2.64E-02
polystyrene,fragment,polystyrene,fragment,SUB-4-10-250um_S2_A_33,Lower Harbor,SUB-4-10,SUB-4-10-S2,33,black,,Non-Fiber,1.069,0.697,0,1.069,1015.55,1069,1122.45,662.15,697,731.85,10.69,539.845,731.85,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,1.05E-09,1.05E-09,1.05E-09,7188452.36,402234731,601189184,7.55E-03,4.22E-01,6.31E-01
polystyrene,fragment,polystyrene,fragment,SUB-4-2-250um_S1_B_21,Lower Harbor,SUB-4-2,SUB-4-2-S1,21,white,,Non-Fiber,0.635,0.42,0,0.635,603.25,635,666.75,399,420,441,6.35,320.675,441,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,1.05E-09,1.05E-09,1.05E-09,1528424.36,85524022.5,129670207,1.60E-03,8.98E-02,1.36E-01
polystyrene,fragment,polystyrene,fragment,SUB-4-4-250um_S1_A_73,Lower Harbor,SUB-4-4,SUB-4-4-S1,73,black,,Non-Fiber,0.838,0.526,0,0.838,796.1,838,879.9,499.7,526,552.3,8.38,423.19,552.3,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,1.05E-09,1.05E-09,1.05E-09,3333657.6,186537074,268400552,3.50E-03,1.96E-01,2.82E-01
polystyrene,fragment,polystyrene,fragment,SUB-4-4-250um_S1_B_12,Lower Harbor,SUB-4-4,SUB-4-4-S1,12,gray,,Non-Fiber,1.321,0.544,0,1.321,1254.95,1321,1387.05,516.8,544,571.2,13.21,278.605,544,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,1.05E-09,1.05E-09,1.05E-09,8567453.29,200212240,431001930,9.00E-03,2.10E-01,4.53E-01
polystyrene,fragment,polystyrene,fragment,SUB-4-5-500um_S1_A_13,Lower Harbor,SUB-4-5,SUB-4-5-S1,13,translucent,,Non-Fiber,1.759,1.011,0,1.759,1671.05,1759,1846.95,960.45,1011,1061.55,17.59,888.295,1061.55,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,1.05E-09,1.05E-09,1.05E-09,28231245.9,1579698525,2081306535,2.96E-02,1.66E+00,2.19E+00
polystyrene,fragment,polystyrene,fragment,SUB-4-7-250um_S2_A_77,Lower Harbor,SUB-4-7,SUB-4-7-S2,77,green,,Non-Fiber,0.522,0.403,0,0.522,495.9,522,548.1,382.85,403,423.15,5.22,263.61,423.15,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,1.05E-09,1.05E-09,1.05E-09,991044.744,55454581.3,98140551.1,1.04E-03,5.82E-02,1.03E-01
polystyrene,fragment,polystyrene,fragment,SUB-4-9-250um_S2_A_66,Lower Harbor,SUB-4-9,SUB-4-9-S2,66,translucent,,Non-Fiber,0.465,0.256,0,0.465,441.75,465,488.25,243.2,256,268.8,4.65,234.825,268.8,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,1.05E-09,1.05E-09,1.05E-09,499566.24,27953568,35277742.1,5.25E-04,2.94E-02,3.70E-02
polystyrene,fragment,polystyrene,fragment,SUB-1-4-01-250-500um_S1_A_15,Basin I/III,SUB-1-4,SUB-1-4-S1,15,black,,Non-Fiber,0.615,0.333,0,0.615,584.25,615,645.75,316.35,333,349.65,6.15,310.575,349.65,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,1.05E-09,1.05E-09,1.05E-09,1136689.05,63604207.1,78946245.4,1.19E-03,6.68E-02,8.29E-02
polystyrene,fragment,polystyrene,fragment,SUB-1-7-01-250-500um_S1_A_32,Basin I/III,SUB-1-7,SUB-1-7-S1,32,white,,Non-Fiber,0.823,0.693,0,0.823,781.85,823,864.15,658.35,693,727.65,8.23,415.615,727.65,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,1.05E-09,1.05E-09,1.05E-09,4236235.7,237041443,457545409,4.45E-03,2.49E-01,4.80E-01
polystyrene,fragment,polystyrene,fragment,SUB-2-4_G-01-250-500um_S1_C_28,Basin II,SUB-2-4,SUB-2-4-S1,28,orange,,Non-Fiber,0.689,0.349,0,0.689,654.55,689,723.45,331.55,349,366.45,6.89,347.945,366.45,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,1.05E-09,1.05E-09,1.05E-09,1495240.6,83667202.6,97148919.1,1.57E-03,8.79E-02,1.02E-01
NA,fragment,,fragment,SUB-3-3-250um_S1_A_74,Middle Newport Bay,SUB-3-3,SUB-3-3-S1,74,black,,Non-Fiber,0.729,0.511,0,0.729,692.55,729,765.45,485.45,511,536.55,7.29,368.145,536.55,mineral,mineral,1.03E-09,1.08E-09,1.33E-09,2450886.32,137141007,220362264,2.52E-03,1.48E-01,2.93E-01
NA,fragment,,fragment,SUB-3-3-500um_S1_A_44,Middle Newport Bay,SUB-3-3,SUB-3-3-S1,44,pink,,Non-Fiber,1.603,0.8,0,1.603,1522.85,1603,1683.15,760,800,840,16.03,408.015,800,mineral,mineral,1.03E-09,1.08E-09,1.33E-09,18552577,523238436,1131076800,1.91E-02,5.65E-01,1.50E+00
NA,fragment,,fragment,SUB-3-6-250um_S1_B_16,Middle Newport Bay,SUB-3-6,SUB-3-6-S1,16,green,,Non-Fiber,0.669,0.379,0,0.669,635.55,669,702.45,360.05,379,397.95,6.69,337.845,397.95,mineral,mineral,1.03E-09,1.08E-09,1.33E-09,1530871.21,85660937.6,111242934,1.58E-03,9.25E-02,1.48E-01
NA,fragment,,fragment,SUB-3-7-500um_S1_A_4,Middle Newport Bay,SUB-3-7,SUB-3-7-S1,4,pink,,Non-Fiber,1.344,0.893,0,1.344,1276.8,1344,1411.2,848.35,893,937.65,13.44,678.72,937.65,mineral,mineral,1.03E-09,1.08E-09,1.33E-09,14557848.9,814594314,1240709432,1.50E-02,8.80E-01,1.65E+00
NA,fragment,,fragment,SUB-3-7-500um_S1_A_43,Middle Newport Bay,SUB-3-7,SUB-3-7-S1,43,yellow,,Non-Fiber,1.189,0.699,0,1.189,1129.55,1189,1248.45,664.05,699,733.95,11.89,600.445,733.95,mineral,mineral,1.03E-09,1.08E-09,1.33E-09,8918423.59,499036444,672518295,9.19E-03,5.39E-01,8.94E-01
NA,fragment,,fragment,SUB-3-7-500um_S1_A_59,Middle Newport Bay,SUB-3-7,SUB-3-7-S1,59,black,,Non-Fiber,2.191,1.091,0,2.191,2081.45,2191,2300.55,1036.45,1091,1145.55,21.91,556.455,1091,mineral,mineral,1.03E-09,1.08E-09,1.33E-09,47266856.1,1330139459,2875216002,4.87E-02,1.44E+00,3.82E+00
NA,fragment,,fragment,SUB-3-9-1000um_S1_A_8,Middle Newport Bay,SUB-3-9,SUB-3-9-S1,8,black,,Non-Fiber,0.601,0.129,0,0.601,570.95,601,631.05,122.55,129,135.45,6.01,67.505,129,mineral,mineral,1.03E-09,1.08E-09,1.33E-09,420519.234,5233595.15,11026368.2,4.33E-04,5.65E-03,1.47E-02
