"","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Unique_ID","Site","Location","Sample","Particle.x","Color","Plastic.or.not..morphology.","X1st.Order.Morph","Feret","MinFeret","Length","Length..mm.","Min.Length..microns.","Length..microns.","Max.Length..microns.","Min.Width..microns.","Width..microns.","Max.Width..microns.","Min.Height..Microns.","Height..microns.","Max.Height..Microns.","Polymer.Class..openspecy.","Polymer..openspecy.","Min.Density..mg.microns3.","Density..mg.microns3.","Max.Density..mg.microns3.","Min.Volume..microns3.","Volume..microns3.","Max.Volume..microns3.","Min.Mass..mg.","Mass..mg.","Max.Mass..mg.","OS_Plastic_Not","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj"
"21","Polyacrylonitriles (Nitriles)","fiber","polyacrylonitriles (nitriles)","fiber","UNB-3-30-35-1000um_A_2","Upper Newport Bay","UNB-3","UNB-3-30-35",2,"gray","","Fiber",1.364,0.756,0,1.364,1295.8,1364,1432.2,15,16.7,20.4,15,16.7,20.4,"polyacrylonitriles (nitriles)","",1.09e-09,1.12e-09,1.14e-09,241000,299000,446000,"2.63E-04","3.35E-04","5.08E-04","",0.001364,1.67e-05,1.67e-05,0.110649906278907,1.67e-05,1026,1120,0.0916179337231969,0.140387863123535,NA,0.000624014953709829,0.00847239815199524,51.3942714177575,0.000624014953709829
"22",NA,"fiber","","fiber","UNB-3-30-35-500um_A_10","Upper Newport Bay","UNB-3","UNB-3-30-35",10,"orange","","Fiber",1.044,0.374,0,1.044,991.8,1044,1096.2,15,16.7,20.4,15,16.7,20.4,"Unknown","",1.33e-09,1.35e-09,1.37e-09,184000,229000,341000,"2.45E-04","3.09E-04","4.67E-04","",0.001044,1.67e-05,1.67e-05,0.126475960492006,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.0014201261701887,0.0192813878391474,34.2032994886098,0.0014201261701887
"23",NA,"fiber","","fiber","UNB-1-05-10-1000um_B_11","Upper Newport Bay","UNB-1","UNB-1-05-10",11,"black","","Fiber",2.448,0.156,0,2.448,2325.6,2448,2570.4,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,433000,536000,8e+05,"5.75E-04","7.24E-04","1.10E-03","",0.002448,1.67e-05,1.67e-05,0.0825947663283613,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.00142201294862252,0.0193070050747936,34.112595342992,0.00142201294862252
"24",NA,"fiber","","fiber","UNB-1-05-10-250um_A_14","Upper Newport Bay","UNB-1","UNB-1-05-10",14,"blue","","Fiber",1.129,0.353,0,1.129,1072.55,1129,1185.45,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,2e+05,247000,369000,"2.65E-04","3.34E-04","5.06E-04","",0.001129,1.67e-05,1.67e-05,0.121621754615482,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.00142031631268969,0.0192839694487136,34.1941422811259,0.00142031631268969
"25",NA,"fiber","","fiber","UNB-1-05-10-250um_A_3","Upper Newport Bay","UNB-1","UNB-1-05-10",3,"black","","Fiber",0.61,0.372,0,0.61,579.5,610,640.5,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,108000,134000,199000,"1.43E-04","1.80E-04","2.73E-04","",0.00061,1.67e-05,1.67e-05,0.165460113563142,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.00141871812561891,0.0192622704860454,34.2712251293225,0.00141871812561891
"26",NA,"fiber","","fiber","UNB-1-05-10-250um_A_36","Upper Newport Bay","UNB-1","UNB-1-05-10",36,"gray","","Fiber",0.702,0.285,0,0.702,666.9,702,737.1,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,124000,154000,229000,"1.65E-04","2.08E-04","3.14E-04","",0.000702,1.67e-05,1.67e-05,0.154237394263433,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.00141910417878159,0.0192675120208557,34.2525813744344,0.00141910417878159
"27",NA,"fiber","","fiber","UNB-1-05-10-250um_A_4","Upper Newport Bay","UNB-1","UNB-1-05-10",4,"blue","","Fiber",0.465,0.358,0,0.465,441.75,465,488.25,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,82200,102000,152000,"1.09E-04","1.38E-04","2.08E-04","",0.000465,1.67e-05,1.67e-05,0.18950983746134,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.00141793381160131,0.0192516216697088,34.3091490945567,0.00141793381160131
"28",NA,"fiber","","fiber","UNB-1-05-10-250um_A_8","Upper Newport Bay","UNB-1","UNB-1-05-10",8,"blue","","Fiber",0.731,0.377,0,0.731,694.45,731,767.55,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,129000,160000,239000,"1.72E-04","2.16E-04","3.27E-04","",0.000731,1.67e-05,1.67e-05,0.151147005384368,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.00141921299946881,0.019268989504983,34.2473288203165,0.00141921299946881
"29",NA,"fiber","","fiber","UNB-1-05-10-250um_A_9","Upper Newport Bay","UNB-1","UNB-1-05-10",9,"blue","","Fiber",0.636,0.454,0,0.636,604.2,636,667.8,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,112000,139000,208000,"1.49E-04","1.88E-04","2.85E-04","",0.000636,1.67e-05,1.67e-05,0.162042777176955,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.00141883421527254,0.0192638466626434,34.2656171846465,0.00141883421527254
"30",NA,"fiber","","fiber","UNB-1-05-10-250um_B_24","Upper Newport Bay","UNB-1","UNB-1-05-10",24,"blue","","Fiber",9.85,3.042,0,9.85,9357.5,9850,10342.5,15,16.7,20.4,15,16.7,20.4,"","",1.33e-09,1.35e-09,1.37e-09,1740000,2160000,3220000,"2.32E-03","2.91E-03","4.41E-03","",0.00985,1.67e-05,1.67e-05,0.0411756174462657,1.67e-05,1026,1350,0.315789473684211,0.212064813931685,NA,0.00142436074825395,0.0193388817039357,34.0002312072174,0.00142436074825395
