,Site,Location,Sub,Sample,Depth,Size,Unique_ID,Color,Color-Group,Morphology,1st Order Morph,Comment,Feret,MinFeret,Length,plastic_or_not,match_val,good_match_vals,material_class,material_class_specific,spectrum_identity
1735,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_11,black,Black,fiber,Fiber,NA,1.028,0.367,1.573,NA,NA,NA,NA,NA,NA
1736,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_12,black,Black,TRWP,Non-Fiber,NA,0.783,0.253,0,NA,NA,NA,NA,NA,NA
1737,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_13,green,Green,fragment,Non-Fiber,NA,1.253,0.327,0,NA,NA,NA,NA,NA,NA
1738,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_14,black,Black,fiber,Fiber,NA,0.624,0.287,1.222,NA,NA,NA,NA,NA,NA
1739,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_15,black,NA,not plastic,NA,NA,0.67,0.447,0,NA,NA,NA,NA,NA,NA
1740,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_16,black,Black,TRWP,Non-Fiber,NA,0.875,0.202,0,NA,NA,NA,NA,NA,NA
1741,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_17,black,Black,fiber,Fiber,NA,1.08,0.247,1.236,NA,NA,NA,NA,NA,NA
1742,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_18,black,Black,TRWP,Non-Fiber,NA,0.776,0.462,0,NA,NA,NA,NA,NA,NA
1743,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_19,translucent,Transparent,fiber,Fiber,NA,1.515,0.263,1.73,NA,NA,NA,NA,NA,NA
1744,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_2,green,Green,spike,Spike,NA,0.344,0.303,0,NA,NA,NA,NA,NA,NA
1745,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_20,black,Black,fiber,Fiber,NA,3.277,0.221,3.441,NA,NA,NA,NA,NA,NA
1746,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_21,black,Black,fiber,Fiber,NA,1.031,0.475,1.677,NA,NA,NA,NA,NA,NA
1747,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_22,black,Black,fiber,Fiber,NA,0.392,0.3,1.103,NA,NA,NA,NA,NA,NA
1748,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_23,gray,Black,fiber,Fiber,NA,0.972,0.436,1.397,NA,NA,NA,NA,NA,NA
1749,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_24,translucent,Transparent,fiber,Fiber,NA,1.053,0.168,1.141,NA,NA,NA,NA,NA,NA
1750,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_25,black,Black,fiber,Fiber,NA,0.934,0.341,1.32,NA,NA,NA,NA,NA,NA
