,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Unique_ID,Site,Location,Sample,Particle.x,Color,Plastic.or.not..morphology.,X1st.Order.Morph,Feret,MinFeret,Length,Length..mm.,Min.Length..microns.,Length..microns.,Max.Length..microns.,Min.Width..microns.,Width..microns.,Max.Width..microns.,Min.Height..Microns.,Height..microns.,Max.Height..Microns.,Polymer.Class..openspecy.,Polymer..openspecy.,Min.Density..mg.microns3.,Density..mg.microns3.,Max.Density..mg.microns3.,Min.Volume..microns3.,Volume..microns3.,Max.Volume..microns3.,Min.Mass..mg.,Mass..mg.,Max.Mass..mg.,OS_Plastic_Not,a,b,c,CSF,Deqi,water.density,particle.density,delta,D_dimless,P,W,Re,Cd,W_adj
11,NA,fiber,,fiber,SUB-3-7-PB_S1_A_4,Middle Newport Bay,SUB-3-7,SUB-3-7-S1,4,translucent,,Fiber,0.674,0.279,0,0.674,640.3,674,707.7,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,119000,148000,220000,0.000149,0.000186,0.000282,,0.000674,1.67E-05,1.67E-05,0.157408539,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001143154,0.015520871,38.12266524,0.001143154
12,NA,fiber,,fiber,SUB-3-9-250um_S1_A_32,Middle Newport Bay,SUB-3-9,SUB-3-9-S1,32,translucent,,Fiber,1.101,0.812,0,1.101,1045.95,1101,1156.05,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,195000,241000,360000,0.000243,0.000304,0.000461,,0.001101,1.67E-05,1.67E-05,0.123158553,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001144068,0.015533278,38.06178716,0.001144068
13,NA,fiber,,fiber,SUB-3-9-250um_S1_C_37,Middle Newport Bay,SUB-3-9,SUB-3-9-S1,37,translucent,,Fiber,1.017,0.409,0,1.017,966.15,1017,1067.85,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,180000,223000,332000,0.000225,0.000281,0.000425,,0.001017,1.67E-05,1.67E-05,0.128143847,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001143927,0.015531371,38.07113458,0.001143927
14,NA,fiber,,fiber,SUB-4-1-250um_S1_J_41,Lower Harbor,SUB-4-1,SUB-4-1-S1,41,gray,,Fiber,0.639,0.403,0,0.639,607.05,639,670.95,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,113000,140000,209000,0.000141,0.000176,0.000267,,0.000639,1.67E-05,1.67E-05,0.161661948,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001143048,0.015519431,38.12974002,0.001143048
15,NA,fiber,,fiber,SUB-4-1-500um_S1_B_41,Lower Harbor,SUB-4-1,SUB-4-1-S1,41,translucent,,Fiber,2.169,0.226,0,2.169,2060.55,2169,2277.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,383000,475000,709000,0.000479,0.000599,0.000907,,0.002169,1.67E-05,1.67E-05,0.087746229,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001145163,0.015548145,37.98903402,0.001145163
16,NA,fiber,,fiber,SUB-4-11-1000um_S1_A_14,Lower Harbor,SUB-4-11,SUB-4-11-S1,14,black,,Fiber,0.538,0.235,0,0.538,511.1,538,564.9,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,95100,118000,176000,0.000119,0.000148,0.000225,,0.000538,1.67E-05,1.67E-05,0.176184256,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001142696,0.015514655,38.15321707,0.001142696
17,NA,fiber,,fiber,SUB-4-11-250um_S1_B_90,Lower Harbor,SUB-4-11,SUB-4-11-S1,90,translucent,,Fiber,1.702,0.4,0,1.702,1616.9,1702,1787.1,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,301000,373000,556000,0.000376,0.00047,0.000712,,0.001702,1.67E-05,1.67E-05,0.099055469,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001144792,0.01554311,38.01364924,0.001144792
18,NA,fiber,,fiber,SUB-4-2-250um_S1_E_53,Lower Harbor,SUB-4-2,SUB-4-2-S1,53,blue,,Fiber,0.686,0.16,0,0.686,651.7,686,720.3,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,121000,150000,224000,0.000152,0.000189,0.000287,,0.000686,1.67E-05,1.67E-05,0.156025714,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001143189,0.015521343,38.12034454,0.001143189
19,NA,fiber,,fiber,SUB-4-7-250um_S1_A_11,Lower Harbor,SUB-4-7,SUB-4-7-S1,11,pink,,Fiber,1.082,0.836,0,1.082,1027.9,1082,1136.1,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,191000,237000,354000,0.000239,0.000299,0.000453,,0.001082,1.67E-05,1.67E-05,0.124235183,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001144037,0.015532863,38.06382168,0.001144037
20,NA,fiber,,fiber,SUB-4-7-250um_S2_B_37,Lower Harbor,SUB-4-7,SUB-4-7-S2,37,blue,,Fiber,0.25,0.136,0,0.25,237.5,250,262.5,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,44200,54800,81700,5.52E-05,6.90E-05,0.000105,,0.00025,1.67E-05,1.67E-05,0.25845696,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001140937,0.015490777,38.27093196,0.001140937
21,NA,fiber,,fiber,SUB-4-7-250um_S2_B_54,Lower Harbor,SUB-4-7,SUB-4-7-S2,54,translucent,,Fiber,0.457,0.203,0,0.457,434.15,457,479.85,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,80800,1.00E+05,149000,0.000101,0.000126,0.000191,,0.000457,1.67E-05,1.67E-05,0.191161371,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001142349,0.015509937,38.17643281,0.001142349
22,NA,fiber,,fiber,SUB-2-3-G_01 (500-1mm)_S1-_B_21,Basin II,SUB-2-3,SUB-2-3-S1,21,black,,Fiber,1.178,0.693,0,1.178,1119.1,1178,1236.9,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,208000,258000,385000,0.00026,0.000325,0.000493,,0.001178,1.67E-05,1.67E-05,0.119065404,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001144185,0.015534874,38.05396969,0.001144185
23,NA,fiber,,fiber,SUB-1-2-01-250-500um_S1_B_65,Basin I/III,SUB-1-2,SUB-1-2-S1,65,black,,Fiber,1.063,0.274,0,1.063,1009.85,1063,1116.15,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,188000,233000,347000,0.000235,0.000293,0.000445,,0.001063,1.67E-05,1.67E-05,0.125340552,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001144006,0.015532439,38.06590133,0.001144006
24,NA,fiber,,fiber,SUB-1-2-01-250-500um_S1_B_66,Basin I/III,SUB-1-2,SUB-1-2-S1,66,black,,Fiber,0.739,0.52,0,0.739,702.05,739,775.95,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,131000,162000,242000,0.000163,0.000204,0.000309,,0.000739,1.67E-05,1.67E-05,0.150326663,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001143334,0.015523313,38.11066955,0.001143334
25,NA,fiber,,fiber,SUB-1-2-01-250-500um_S1_C_8,Basin I/III,SUB-1-2,SUB-1-2-S1,8,black,,Fiber,1.449,0.198,0,1.449,1376.55,1449,1521.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,256000,317000,474000,0.00032,4.00E-04,0.000606,,0.001449,1.67E-05,1.67E-05,0.107355437,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001144533,0.0155396,38.03082835,0.001144533
